[09:39:11.749] {'add_noise_prob': 1.0,
 'base_lr': 0.01,
 'batch_size': 4,
 'cfg': 'config_3d_complete.yml',
 'conf_threshold': 0.8,
 'consistency': 1.0,
 'consistency_rampup': 40,
 'cutmix_prob': 1.0,
 'deterministic': 1,
 'ema_decay': 0.99,
 'exp': 'LA_leave/v10',
 'flag_ema_buffer': True,
 'flag_ema_mode_train': False,
 'flag_extra_weak': True,
 'flag_not_use_noise_weak': False,
 'flag_pseudo_from_student': False,
 'flag_sampling_based_on_lb': False,
 'flag_ulb_loss_type': 'ce',
 'flag_use_color_augs': True,
 'flag_use_dynamic_cutmix': False,
 'flag_use_teacher_warmup': False,
 'gpu_id': 1,
 'labeled_bs': 2,
 'labeled_num': 4,
 'max_iterations': 15000,
 'max_samples': 80,
 'model': 'vnet',
 'num_classes': 2,
 'patch_size': [112, 112, 80],
 'poly': True,
 'res_path': './results/LA',
 'root_path': '../mics_data/LA',
 'save_interval_epoch': 1000000,
 'seed': 2023,
 'test_interval_iter': 200,
 'workers': 4}
[09:39:19.174] 38 iterations per epoch
[09:39:21.697] iteration:1  t-loss:0.7110, loss-lb:0.7110, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:39:22.931] iteration:2  t-loss:0.5519, loss-lb:0.5519, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:39:24.127] iteration:3  t-loss:0.5488, loss-lb:0.5488, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:39:25.320] iteration:4  t-loss:0.4832, loss-lb:0.4832, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:39:26.513] iteration:5  t-loss:0.5426, loss-lb:0.5426, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:39:27.712] iteration:6  t-loss:0.5266, loss-lb:0.5266, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:39:28.906] iteration:7  t-loss:0.4947, loss-lb:0.4947, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:39:30.102] iteration:8  t-loss:0.4290, loss-lb:0.4290, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:39:31.297] iteration:9  t-loss:0.4846, loss-lb:0.4846, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:39:32.492] iteration:10  t-loss:0.4328, loss-lb:0.4325, loss-ulb:0.0377, weight:0.01, high-r:0.00, lr:0.0100
[09:39:33.687] iteration:11  t-loss:0.4685, loss-lb:0.4685, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:39:34.887] iteration:12  t-loss:0.4783, loss-lb:0.4770, loss-ulb:0.1890, weight:0.01, high-r:0.00, lr:0.0100
[09:39:36.087] iteration:13  t-loss:0.4705, loss-lb:0.4701, loss-ulb:0.0677, weight:0.01, high-r:0.01, lr:0.0100
[09:39:37.283] iteration:14  t-loss:0.4753, loss-lb:0.4740, loss-ulb:0.1903, weight:0.01, high-r:0.09, lr:0.0100
[09:39:38.480] iteration:15  t-loss:0.4810, loss-lb:0.4805, loss-ulb:0.0756, weight:0.01, high-r:0.09, lr:0.0100
[09:39:39.679] iteration:16  t-loss:0.3733, loss-lb:0.3723, loss-ulb:0.1426, weight:0.01, high-r:0.08, lr:0.0100
[09:39:40.878] iteration:17  t-loss:0.4186, loss-lb:0.4175, loss-ulb:0.1615, weight:0.01, high-r:0.34, lr:0.0100
[09:39:42.078] iteration:18  t-loss:0.4552, loss-lb:0.4530, loss-ulb:0.3226, weight:0.01, high-r:0.42, lr:0.0100
